	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0035766"	46.57	57.03	61.09	53.26	55.05	52.99	10.57	5.42	10.28	34.84	29.97	38.43	43.24	52.10	62.45
"FBgn0035767"	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
"FBgn0035768"	0.00	0.00	0.00	0.00	0.04	0.05	0.00	0.06	0.00	0.15	0.05	0.19	0.05	0.00	0.04
"FBgn0035769"	42.56	47.98	51.91	47.56	47.49	49.93	19.68	15.00	20.53	34.72	35.94	40.50	39.08	35.25	53.17
"FBgn0035770"	22.87	21.25	19.20	1.22	1.22	1.49	30.06	29.58	34.27	39.56	37.89	34.97	102.93	83.13	103.18
"FBgn0035771"	60.34	62.76	73.44	68.17	65.54	70.66	44.36	35.39	43.19	49.80	53.20	54.47	56.83	49.40	73.26
"FBgn0035772"	86.94	78.54	70.48	99.39	89.29	96.19	97.78	109.32	102.45	103.40	91.38	101.98	102.95	102.33	97.99
"FBgn0035776"	0.05	0.00	0.00	0.07	0.00	0.00	0.00	0.10	0.00	0.04	0.09	0.04	0.04	0.00	0.00
"FBgn0035777"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035779"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035780"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035781"	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035782"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.13	0.00	0.00
"FBgn0035785"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035786"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035787"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035788"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035789"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035790"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035791"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.05	0.06	0.00	0.00
"FBgn0035792"	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035793"	17.70	27.36	37.66	14.98	17.18	14.49	44.24	30.02	41.57	14.89	12.89	13.25	15.62	15.56	25.34
"FBgn0035795"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035797"	0.17	0.21	0.15	0.42	0.40	0.61	0.48	0.36	0.23	0.10	0.11	0.15	0.16	0.25	0.15
"FBgn0035798"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035799"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035800"	0.00	0.03	0.03	0.00	0.02	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.02
"FBgn0035802"	8.39	11.79	14.10	5.72	6.82	4.75	12.28	8.91	12.35	5.45	5.83	6.65	6.11	8.12	11.13
"FBgn0035805"	86.49	63.42	51.21	79.94	75.32	78.79	102.93	125.14	104.68	113.87	114.39	102.98	115.26	116.25	86.04
"FBgn0035806"	0.00	0.00	0.11	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035807"	56.74	69.79	68.79	64.05	66.83	64.97	10.30	4.95	9.03	45.96	47.10	52.58	55.52	66.99	64.41
"FBgn0035811"	455.10	426.57	422.31	525.48	498.47	561.86	501.72	508.27	531.46	404.25	573.25	534.44	352.13	376.75	316.13
"FBgn0035812"	12.47	16.48	16.51	14.84	16.53	15.33	2.55	1.34	2.17	9.24	7.79	9.28	7.49	9.98	13.13
"FBgn0035813"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035815"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00
"FBgn0035816"	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035817"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.11	0.00	0.00
"FBgn0035823"	0.00	0.07	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.08	0.07	0.00	0.00	0.05
"FBgn0035824"	14.64	13.93	13.97	18.60	17.08	18.72	1.71	1.40	1.86	14.47	16.69	15.50	14.78	17.14	12.05
"FBgn0035825"	51.92	49.07	47.86	60.29	53.98	62.72	19.54	17.85	19.22	47.34	56.64	51.57	56.13	55.55	42.97
"FBgn0035827"	310.74	239.71	210.34	263.46	257.75	266.89	309.68	384.98	324.97	380.96	362.53	339.84	269.31	268.40	215.03
"FBgn0035829"	355.66	303.78	247.51	282.39	278.92	291.14	400.17	493.86	455.78	458.36	447.86	387.29	353.63	369.43	316.93
"FBgn0035830"	106.08	95.13	98.91	121.08	115.26	126.72	74.74	75.26	74.62	103.32	111.51	126.92	122.81	108.24	103.07
