	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0077328"	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.47	0.00	0.00	0.67	0.20	0.21	0.00	0.00
"FBtr0071559"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.27	0.00	0.00
"FBtr0345819"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100554"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343011"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072033"	492.67	482.23	435.95	447.46	422.52	483.30	548.24	730.82	619.28	493.40	611.67	483.71	550.76	604.09	375.56
"FBtr0072034"	32.99	24.65	21.33	28.56	20.04	27.77	26.05	34.63	31.66	29.42	36.29	28.26	33.61	30.61	15.89
"FBtr0072437"	223.59	169.13	163.20	206.89	211.67	223.03	242.22	312.70	257.00	281.68	315.05	299.38	264.45	257.20	155.56
"FBtr0310371"	2.84	1.50	0.00	1.02	0.83	1.43	1.28	2.60	0.68	1.09	3.36	4.24	2.17	2.28	0.00
"FBtr0081562"	0.00	0.51	0.74	0.84	0.64	0.00	0.00	0.00	0.52	0.84	0.00	0.00	1.20	0.00	0.00
"FBtr0344948"	0.71	0.53	0.54	0.00	0.00	0.48	1.43	1.63	0.76	0.00	1.25	2.24	0.51	1.25	0.38
"FBtr0086210"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336662"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078657"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305000"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0334908"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346146"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078843"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339316"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339317"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078908"	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	0.30	0.53	0.00	0.29	0.00
"FBtr0072540"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00
